,Bunker_Oil,Dry_Bulk_Index,USD_INR,Commodity_Gold,BDI_MA7,BDI_MA30,Oil_Daily_Return
2023-10-19,89.37000274658203,5.670000076293945,83.26860046386719,1968.4000244140625,5.848571368626186,5.674333318074544,0.019155273050613264
2023-10-20,88.75,5.760000228881836,83.12229919433594,1982.5,5.85857139314924,5.673333326975505,0.01188862155101833
2023-10-21,88.75,5.760000228881836,83.12229919433594,1982.5,5.842857156481061,5.683333333333334,-0.006937481565711834
2023-10-22,88.75,5.760000228881836,83.12229919433594,1982.5,5.827142919812884,5.696333344777425,0.0
2023-10-23,85.48999786376953,5.539999961853027,83.15979766845703,1976.300048828125,5.8114286831447055,5.704000012079875,0.0
2023-10-24,83.73999786376953,5.409999847412109,83.02940368652344,1975.0,5.772857257298061,5.7043333371480305,-0.03673241843639963
2023-10-25,85.38999938964844,5.289999961853027,82.98780059814453,1984.0999755859375,5.675714356558664,5.700333325068156,-0.020470230947819967
2023-10-26,83.20999908447266,5.179999828338623,83.1709976196289,1987.199951171875,5.598571504865374,5.690333318710327,0.01970386395952839
2023-10-27,85.54000091552734,5.059999942779541,83.28250122070312,1988.5999755859375,5.528571469443185,5.678333314259847,-0.025529925292868128
2023-10-28,85.54000091552734,5.059999942779541,83.28250122070312,1988.5999755859375,5.428571428571429,5.66266663869222,0.028001464447672042
2023-10-29,85.54000091552734,5.059999942779541,83.28250122070312,1988.5999755859375,5.3285713876996725,5.652333307266235,0.0
2023-10-30,82.30999755859375,4.940000057220459,83.41339874267578,1996.199951171875,5.228571346827915,5.637999979654948,0.0
2023-10-31,81.0199966430664,5.010000228881836,83.29650115966797,1985.199951171875,5.142857074737549,5.6196666558583575,-0.037760151068075065
2023-11-01,80.44000244140625,4.800000190734863,83.2771987915039,1978.800048828125,5.0857142720903665,5.603666671117147,-0.01567246936933797
2023-11-02,82.45999908447266,5.010000228881836,85.19400024414062,1985.5999755859375,5.015714304787772,5.5760000069936115,-0.0071586549702701285
2023-11-03,80.51000213623047,5.150000095367432,83.24729919433594,1991.5,4.9914286477225165,5.55666667620341,0.025111842140206342
2023-11-04,80.51000213623047,5.150000095367432,83.24729919433594,1991.5,5.00428581237793,5.543333339691162,-0.023647792504152165
2023-11-05,80.51000213623047,5.150000095367432,83.24729919433594,1991.5,5.017142977033343,5.523333342870076,0.0
2023-11-06,80.81999969482422,5.269999980926514,83.15850067138672,1981.5999755859375,5.030000141688755,5.49800001780192,0.0
2023-11-07,77.37000274658203,5.199999809265137,83.2228012084961,1966.800048828125,5.077142987932477,5.476666688919067,0.0038504229334039852
2023-11-08,75.33000183105469,5.400000095367432,83.23269653320312,1951.5,5.1042857851300925,5.453000020980835,-0.042687416001848
2023-11-09,75.73999786376953,5.800000190734863,83.21769714355469,1964.199951171875,5.190000057220459,5.434000031153361,-0.026366819737737024
2023-11-10,77.16999816894531,5.699999809265137,83.31939697265625,1932.5999755859375,5.302857194628034,5.438333368301391,0.005442665906664423
2023-11-11,77.16999816894531,5.699999809265137,83.31939697265625,1932.5999755859375,5.381428582327707,5.435666688283285,0.01888038480998988
2023-11-12,77.16999816894531,5.699999809265137,83.31939697265625,1932.5999755859375,5.459999970027378,5.439000018437704,0.0
2023-11-13,78.26000213623047,5.949999809265137,83.29889678955078,1945.5,5.538571357727051,5.4333333492279055,0.0
2023-11-14,78.26000213623047,5.929999828338623,83.19760131835938,1961.800048828125,5.635714190346854,5.436000013351441,0.014124711586734229
2023-11-15,76.66000366210938,6.150000095367432,82.98159790039062,1960.0999755859375,5.739999907357352,5.438000011444092,0.0
2023-11-16,72.9000015258789,6.440000057220459,83.18620300292969,1983.9000244140625,5.84714276450021,5.4493333498636884,-0.020444651551834947
2023-11-17,75.88999938964844,6.420000076293945,83.12030029296875,1981.5999755859375,5.9385713168552945,5.46100001335144,-0.049047768805272285
2023-11-18,75.88999938964844,6.420000076293945,83.12030029296875,1981.5999755859375,6.0414284978594095,5.48066668510437,0.04101505900117308
2023-11-19,75.88999938964844,6.420000076293945,83.12030029296875,1981.5999755859375,6.144285678863525,5.50566668510437,0.0
2023-11-20,77.5999984741211,6.420000076293945,83.29149627685547,1977.699951171875,6.247142859867641,5.527666680018107,0.0
2023-11-21,77.7699966430664,6.550000190734863,83.32219696044922,1999.300048828125,6.314285755157471,5.549666674931844,0.022532601109836126
2023-11-22,77.0999984741211,6.619999885559082,83.345703125,1991.4000244140625,6.40285723549979,5.5760000069936115,0.0021906980964954137
2023-11-23,77.0999984741211,6.619999885559082,83.54830169677734,1991.4000244140625,6.470000062670026,5.61200000445048,-0.008615124056393308
2023-11-24,75.54000091552734,7.519999980926514,83.34400177001953,2002.199951171875,6.495714323861258,5.652333339055379,0.0
2023-11-25,75.54000091552734,7.519999980926514,83.34400177001953,2002.199951171875,6.652857167380197,5.7266666730244955,-0.020233431770006693
2023-11-26,75.54000091552734,7.519999980926514,83.34400177001953,2002.199951171875,6.810000010899135,5.804666678110759,0.0
2023-11-27,74.86000061035156,7.769999980926514,83.31449890136719,2011.800048828125,6.967142854418073,5.886666679382325,0.0
2023-11-28,76.41000366210938,7.800000190734863,83.364501953125,2039.699951171875,7.159999983651297,5.977000013987223,-0.009001857253565504
